,combined_info
62704,"title: AI-driven Customer Communication — Past, Present and Future, url: https://medium.com/aimarketingassociation/ai-driven-customer-communication-past-present-and-future-492b573ebdc7"
1790,"title: Forecasting with Stochastic Models, url: https://towardsdatascience.com/forecasting-with-stochastic-models-abf2e85c9679"
148573,"title: ML Enabler — completing the Machine Learning pipeline for mapping, url: https://medium.com/devseed/ml-enabler-completing-the-machine-learning-pipeline-for-mapping-3aae94fa9e94"
79759,"title: ‘Learning’ the Stochastic Gradient Descent Algorithm, url: https://medium.com/@aarushiramesh/learning-the-stochastic-gradient-descent-algorithm-6bb5617e28ec"
166007,"title: Analysed and clustered multivariate wave climate, url: https://medium.com/@julien.dasilva/analysed-and-clustered-multivariate-wave-climate-a5f48c3d2e86"
11635,"title: The Trinity of AI — CrowdSource, OpenSource, & BlockChain, url: https://medium.com/dalla/the-trinity-of-ai-crowdsource-opensource-blockchain-ad1d747faacf"
111311,"title: A Guide for Your Very First Machine Learning Project, url: https://medium.com/swlh/how-to-start-your-very-first-machine-learning-project-c53fc542f0c"
36966,"title: The New Restaurant Experience: Robot Servers, Cooks And Hostesses, url: https://robotrabbi.medium.com/the-new-restaurant-experience-robot-servers-cooks-and-hostesses-ff25c261879e"
155728,"title: We are sofiathinks, welcome to the intelligent home era, url: https://medium.com/theintelligenthome/we-are-sofiathinks-welcome-to-the-intelligent-home-era-ee0896491db3"
104682,"title: My first year journey, url: https://medium.com/@andreeagiurgiu2002/my-first-year-journey-764e4c663e10"
1180,"title: Top 10 Safest Jobs from AI, url: https://kaifulee.medium.com/top-10-safest-jobs-from-ai-1824cacd1954"
148880,"title: Artificial Intelligence: Week #29 | 2021, url: https://medium.com/plainsight/artificial-intelligence-week-29-2021-b7250780bc42"
3764,"title: Why Deep Learning Isn’t Always the Best Option, url: https://medium.com/datadriveninvestor/why-deep-learning-isnt-always-the-best-option-b264be56b8b9"
91274,"title: AI Plays Football For Science!, url: https://blog.usejournal.com/ai-plays-football-for-science-b512db683e51"
81135,"title: AI Ethics: Robotics, url: https://medium.com/@arjun-santhan/ai-ethics-robotics-f5b4597c251e"
62432,"title: The How of Explainable AI: Explainable Modelling, url: https://towardsdatascience.com/the-how-of-explainable-ai-explainable-modelling-55c8c43d7bed"
42811,"title: Three Different Things: February 25, 2020, url: https://medium.com/early-hours/three-different-things-february-25-2020-18facbb4bcf5"
120376,"title: India is ready for AI Swarm Drone Technology., url: https://medium.com/@vibhor-namdeo-atl/india-is-ready-for-ai-swarm-drone-technology-1364fbacb311"
176540,"title: AI Consultation by the UK ICO, url: https://medium.datadriveninvestor.com/ai-consultation-by-the-uk-ico-2094a747f025"
1012,"title: Applications of Deep Learning for real-time Object Detection, url: https://medium.com/unitx-ai-magazine/recent-trends-in-the-application-of-deep-learning-for-object-detection-aabed8e705bc"
3752,"title: Deploy Machine Learning Models On AWS Lambda, url: https://medium.com/analytics-vidhya/deploy-machine-learning-models-on-aws-lambda-5969b11616bf"
93285,"title: Anime Dataset Explanatory, Recommendations and Voters Predictions AI, url: https://medium.com/@habiebie11/anime-dataset-insight-recommendations-and-voters-predictions-ai-b3e06c0fd98c"
42751,"title: Getting the skills mix right for digital transformation success, url: https://medium.com/digital-leaders-uk/getting-the-skills-mix-right-for-digital-transformation-success-9feda1487ae7"
3400,"title: How to Train Your Artist., url: https://medium.com/merzazine/how-to-train-your-artist-cb8f188787b5"
130875,"title: Channel 4: A Post-Truth Christmas Message, url: https://medium.com/swlh/channel-4-a-post-truth-christmas-message-17bde1ab7e08"
3651,"title: Remarkable AI Solutions that Help to Achieve Business Goals, url: https://brandzasia.medium.com/remarkable-ai-solutions-that-help-to-achieve-business-goals-6956567fc94"
56451,"title: Introduction to Image Processing Using OpenCV in Google Colab, url: https://karmatnspyphuntsho-tijtech.medium.com/introduction-to-image-processing-using-opencv-in-google-colab-a449306cb395"
13130,"title: Tuning out Toxic Comments, with the Help of AI, url: https://medium.com/google-design/tuning-out-toxic-comments-with-the-help-of-ai-85d0f92414db"
3705,"title: An introduction to Linear Algebra for Programmers, url: https://medium.com/ai-in-plain-english/an-introduction-to-linear-algebra-for-programmers-c737dc2c50a4"
1482,"title: This Technology Could Transform Humanity, If Silicon Valley Doesn’t Ruin It, url: https://medium.com/pcmag-access/this-technology-could-transform-humanity-if-silicon-valley-doesnt-ruin-it-abd71d23faae"
1154,"title: Machine Learning — How it works. Definitions of AI and ML. What their…, url: https://medium.com/datadriveninvestor/machine-learning-how-it-works-900b53d0e3d7"
115353,"title: AI in Supply Chain management, url: https://medium.com/@sertiscorp/ai-in-supply-chain-management-9dba731060a3"
59520,"title: Leadza Monthly — December (2017 results), url: https://medium.com/leadza/leadza-monthly-december-2017-results-8979d4b28d9e"
134,"title: The Future is Now, url: https://medium.com/predict/the-future-is-now-c9ec1115a8d9"
118902,"title: Top 5 Open-Source Image Super-Resolution Projects To Boost Your Image Processing Tasks, url: https://ai.plainenglish.io/top-5-open-source-image-super-resolution-projects-to-boost-your-image-processing-tasks-e6008c978685"
105,"title: Google Objectron — A giant leap for the 3D object detection, url: https://towardsdatascience.com/google-objectron-a-giant-leap-for-the-3d-object-detection-9d8393b7a183"
154688,"title: Maria Dantz closes a circle by joining Spacemaker as Head of Communications, url: https://medium.com/spacemaker/maria-dantz-closes-a-circle-by-joining-spacemaker-as-head-of-communications-e61826cba47c"
13640,"title: “Did the two shoe prints come from the same source? Solving crime with Deep Learning”, url: https://medium.com/nybles/did-the-two-shoe-prints-come-from-the-same-source-solving-crime-with-deep-learning-7aced6917f68"
83140,"title: A revolutionAIry way to understand the present and future of business., url: https://medium.com/l-a-t-o/a-revolutionairy-way-to-understand-the-present-and-future-of-business-319cea024d72"
3960,"title: Docker: my questions from the first day, url: https://medium.com/practical-coding/docker-my-questions-from-the-first-day-bc6af8d2a826"
1868,"title: New beta features of AutoAI in IBM Watson Studio automates feature engineering on multiple datasets, url: https://medium.com/ibm-watson/new-beta-features-of-autoai-in-ibm-watson-studio-automates-feature-engineering-on-multiple-datasets-fb9cc51675e6"
95604,"title: Which Impact Does AI Have On Content Marketing?, url: https://medium.com/seo-geek-lab/which-impact-does-ai-have-on-content-marketing-827a5f5ee5c4"
12925,"title: When Things Go Wrong with NinjaChat (also: Localization), url: https://medium.com/ninjavan-tech/when-things-go-wrong-with-ninjachat-also-localization-c541192b7335"
3609,"title: Roadmap to Becoming a Successful Data Scientist, url: https://medium.com/dataseries/roadmap-to-becoming-a-successful-data-scientist-7daf4d2b0e11"
151284,"title: China Medical Big Data Status — Pain and Outlook Coexist, url: https://medium.com/@parhat/china-medical-big-data-status-pain-and-outlook-coexist-b7d588dbe7d"
76955,"title: What Can We Expect From Conversational AI In 2021, url: https://chatbotslife.com/what-can-we-expect-from-conversational-ai-in-2021-bdcc4a049fe2"
168739,"title: The Trash We Make: AI Solutions For A Cleaner World, url: https://medium.com/omdena/the-trash-we-make-ai-solutions-for-a-cleaner-world-18caeeb95e85"
1044,"title: Headline Analyzers are use full, url: https://medium.com/wreader/7-reasons-all-the-greatest-writers-in-the-history-of-the-world-arent-afraid-to-always-choose-ec9b39804420"
137688,"title: Everything You Must Know About StoneAge NFT Marketplace, url: https://medium.com/@Stoneage_NFT/everything-that-you-must-know-about-stoneage-nft-marketplace-abeb3c701100"
126569,"title: Symaps Spatial Data Catalog, url: https://medium.com/@symaps/symaps-spatial-data-catalog-92e8eca56683"
71546,"title: To Compute Satellite Image Statistics Using Pandas in Google Colab, url: https://medium.com/@karmatnspyphuntsho-tijtech/to-compute-satellite-image-statistics-using-pandas-in-google-colab-3fcb30788843"
908,"title: April Update: Product Releases Focused on Customers, url: https://medium.com/quadrantprotocol/april-update-product-releases-focused-on-customers-610cc3c6810a"
109546,"title: Rise of the Chatbots — Conversational Commerce, url: https://chatbotslife.com/rise-of-the-chatbots-conversational-commerce-abb3e596ddd5"
3810,"title: Don’t Sell Your Emotions on Social Media, url: https://medium.com/plus-marketing/dont-sell-your-emotions-on-social-media-6079735e2dc6"
39774,"title: Machine Learning; The Matrix Materialized, url: https://medium.com/datadriveninvestor/machine-learning-the-matrix-materialized-79071b279a7f"
390,"title: Posthumanity and the Future of Brain-Computer Interface Startups, url: https://medium.com/predict/posthumanity-and-the-future-of-brain-computer-interface-startups-9f5c25fc92f7"
153337,"title: Donald Trump is an Android. Or not real. According to this AI detector., url: https://towardsdatascience.com/donald-trump-is-an-android-3bf1173f3e88"
4257,"title: The practical benefits of augmented analytics, url: https://medium.com/dataseries/the-practical-benefits-of-augmented-analytics-5a6fa4031c0b"
3883,"title: Poker? Done that. Now the next challenge…, url: https://medium.com/enrique-dans/poker-done-that-now-the-next-challenge-330b67b11a28"
189,"title: How AI can add value and viability to your business application ?, url: https://medium.com/yugasa/how-ai-can-add-value-and-viability-to-your-business-application-2c9d683f433c"
153851,"title: It’s time we involve citizens in the AI revolution, url: https://medium.com/@vincejstraub/its-time-we-involve-citizens-in-the-ai-revolution-e482f457449"
44015,"title: Distributed Computing for Data Scientists, url: https://medium.com/coiled-hq/distributed-computing-for-data-scientists-bfabc72d39da"
111345,"title: Image Classification On CIFAR 10: A Complete Guide, url: https://ai.plainenglish.io/complete-guide-image-classification-on-cifar-10-chapter-i-multiclass-logistic-regression-525daee0775b"
49482,"title: Play Learning Mix 2: Feel Automation, url: https://medium.com/modern-global-trends/play-learning-mix-2-feel-automation-481c53c95fed"
13247,"title: The Economic Value Of Punchh Loyalty Program — An Intervention Analysis Investigation, url: https://punchhtech.medium.com/the-economic-value-of-punchh-loyalty-program-an-intervention-analysis-investigation-c9d63d3d78d1"
129449,"title: How Artificial Intelligence is changing the agricultural industry, url: https://medium.com/@edurific/how-artificial-intelligence-is-changing-the-agricultural-industry-82949fa42537"
148969,"title: The Next Big Change in Airport Security, url: https://medium.com/@xenavision/the-next-big-change-in-airport-security-7787da52f44b"
161030,"title: ARTIFICIAL INTELLIGENCE APPLICATIONS IN HEALTH CARE, url: https://medium.com/@jbitengg2019/artificial-intelligence-applications-in-health-care-6749b42cc0"
46959,"title: Linear Regression Using Boston Housing Dataset, url: https://medium.com/ai-in-plain-english/linear-regression-using-boston-housing-dataset-e4c2ee891b02"
115555,"title: What can technology do to us?, url: https://medium.com/@obtained/what-can-technology-do-to-us-b3b1ba18885d"
179476,"title: Fast Feature Engineering in Python: Image Data, url: https://towardsdatascience.com/fast-feature-engineering-in-python-image-data-5d3a8a7bf616"
3461,"title: Microsoft just added 3 interesting new Features to Lobe, url: https://medium.com/dataseries/check-these-3-interesting-new-features-in-lobe-39bf4dfedcc7"
89552,"title: Reusable code snippets in JupyterLab, url: https://blog.jupyter.org/reusable-code-snippets-in-jupyterlab-8d75a0f9d207"
152521,"title: Community Newsletter (11–15 November), url: https://medium.com/fetch-ai/community-newsletter-11-15-november-477ede5df37e"
11812,"title: The Social Network Is the Computer, url: https://medium.com/mit-initiative-on-the-digital-economy/the-social-network-is-the-computer-449202844c"
128544,"title: Why are you so quiet?, url: https://medium.com/@raajatg/why-are-you-so-quiet-a64f2542e820"
106653,"title: MAFAT Radar Challenge: Solution by Axon Pulse, url: https://medium.com/axon-pulse/mafat-radar-challenge-solution-by-axon-pulse-a4f082e62b3e"
94883,"title: Jonathan Replaced by AI, Happy for It, url: https://medium.com/omdena/johathan-replaced-by-ai-he-s-happy-for-it-ac426ffc2896"
851,"title: How Neural Networks Work, url: https://medium.com/the-innovation/how-neural-networks-work-c34298a292df"
11711,"title: Schools using facial recognition system sparks privacy concerns in China, url: https://edtechchina.medium.com/schools-using-facial-recognition-system-sparks-privacy-concerns-in-china-d4f706e5cfd0"
97016,"title: Helm.ai named “Autonomous Driving Solution of the Year”, url: https://medium.com/@helm-ai/helm-ai-named-autonomous-driving-solution-of-the-year-bdeefc79390c"
72315,"title: Do Marketers Dream of Artificial Intelligence?, url: https://medium.com/jimc-2021/do-marketers-dream-of-artificial-intelligence-b3ef2a476733"
148654,"title: Unlocking the Potential of Smart Parking Technologies to Improve Patient Experience, url: https://medium.com/geekculture/why-smart-hospitals-need-digital-parking-unlocking-the-potential-of-smart-parking-technologies-to-d63992d332e9"
13134,"title: On gender bias in word embeddings, url: https://medium.com/linguaphile/on-gender-bias-in-word-embeddings-e53c40ba9294"
10869,"title: Privacy Preserving Deep Learning in Medical Imaging, url: https://medium.com/wicds/privacy-preserving-deep-learning-in-medical-imaging-f944fda3d0f8"
109513,"title: Natural Language Principles, url: https://chatbotslife.com/natural-language-principles-65e88e20b94"
115393,"title: Best Practices For Your Supplier Self-Assessments, url: https://medium.com/@waasla/best-practices-for-your-supplier-self-assessments-7743bf891d20"
11918,"title: Grease the wheels of Machine Learning, url: https://sivashankarivaitheswaran.medium.com/grease-the-wheels-of-machine-learning-ee31d98a9fa5"
3583,"title: 7 Steps to Develop a Chatbot for Your Business, url: https://markvanrijmenam.medium.com/how-to-develop-conversational-ai-for-your-business-3ab025a65a52"
121937,"title: Why We Need to Raise Awareness on the Issues of AI Now, url: https://medium.com/@roxana-lara-pomplun/why-we-need-to-raise-awareness-on-the-issues-of-ai-now-4f923cbb4edf"
84588,"title: Smartphone AI: Artificial General Intelligence (AGI) Is It Possible? | Tech Evaluate, url: https://medium.com/@johnwmortensen/smartphone-ai-artificial-general-intelligence-agi-is-it-possible-tech-evaluate-26052806d630"
64508,"title: Trends in Blockchain Application Development, url: https://medium.com/kapitalized/trends-in-blockchain-application-development-51a438f46941"
3538,"title: Real Artificial Intelligence: Understanding Extrapolation vs Generalization, url: https://towardsdatascience.com/real-artificial-intelligence-understanding-extrapolation-vs-generalization-b8e8dcf5fd4b"
12412,"title: How to Debug a ML Model: A Step-by-Step Case Study in NLP, url: https://towardsdatascience.com/how-to-debug-an-ml-model-a-step-by-step-case-study-in-nlp-d79d384f7427"
12692,"title: How banks use AI to catch criminals and detect bias, url: https://medium.com/abn-amro-developer/how-banks-use-ai-to-catch-criminals-and-detect-bias-4a261f6de4ad"
131802,"title: Practitioner’s guide to IoU, Non-Max suppression, and Mean Average Precision, url: https://medium.com/@vijayabhaskar96/practitioners-guide-to-iou-non-max-suppression-and-mean-average-precision-e09de73a2bd8"
11899,"title: Why data literacy is the key to future-proofing your career, url: https://medium.com/humans-of-xero/why-data-literacy-is-the-key-to-future-proofing-your-career-53140c993d5a"
45755,"title: The Algorithm Worth Billions: How YouTube’s Addictive Video Recommender Works, url: https://medium.com/faun/the-algorithm-worth-billions-how-youtubes-addictive-video-recommender-works-d75646dac6a3"
5761,"title: Operationalizing AI with Databricks, Microsoft and Slalom, url: https://medium.com/slalom-technology/operationalizing-ai-with-databricks-microsoft-and-slalom-c423e6a20350"
